tokenAddress,from,tokenAmount,paycoinAmount
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xD17220fC6813DE0E91e5ECAcCbf1b858e07d56FD,97095776699535184865,22786281860929841578752
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0xd6409E82D95eCC6cB3Bc65698824d1db8eDea9b6,620056199350636199964,1128856863142115219781
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x989033E708AEeAb3658D448dcB7Cc330401a5c55,13348859453106912830478,25840699577171192022397
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x582D13CedB408dA56e27b37E05711d1ade3B1047,227468419298563210,12382175085671208745604
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x271dc1e9F66330E1a1dbc1F0F465184F56B71268,145471095345487896817,44006035973172957073739
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x73c5d17b87A15b72FaE99Bd4Dba063e959792E7D,346173257058955397,20484390654209566280998
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xb91fa2874F394ed50c0e150D77c9c186B9f15422,20267119226343047905,7371671815776086067047
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xD41C49B06e5FD3249bB8E8E6725b89246AD25d3f,6275088167388509525,2356951957798969237823
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xA00b7e747aB00b27e2c9EB1b970e140bd2Cb68D4,115560797204718651099,50990809081964827265149
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x5Adb6008DEB5AE5103d4913Cf7aa041cB32dae8c,11631909342486274976851,25207402255596560065468
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x1866bC5C04ab09aD08118AD134558d5d53163dDE,26725062426405678789,15262198813363086071578
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x09bd18b813b1bc6c066Da553D0c93E55a079Dc3a,261610891974215950,15995672016003570217348
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xE23c70B8A445C25E37D453208Ee75C4a0110D49e,30990437621279543990,19352465729469797662884
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x25a509da5DfBe06397dbfe5F82e97fbFB75C237B,772609800226239444,55739369209366501096264
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xf4B590898bcf0f5113068CD9Dd07aaee0f3B11D8,151481542953524104,12733032230185384660866
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0x989033E708AEeAb3658D448dcB7Cc330401a5c55,5207917021860958855,3444456731140670665125
0x1596Ff8ED308a83897a731F3C1e814B19E11D68c,0xb6B81d97314Cda2A06A381E6A5a25E305Fb42Fb3,5478679575675102307,3687358471821907557584
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x193938a2bd57D7269A0323fe629a3bC6D955abe4,125907973910903801,11135661301645778919498
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xF4Ed726c3F10068914Db7B485e4b30E63D7EBaF1,232249777328799897,21946296496153680964403
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0x03ED71c8EAE7aE81469d4C78799b435F142dba5B,1000483301345951375,71277342431499468293616
0xe7CB1c67752cBb975a56815Af242ce2Ce63d3113,0xB86340BD1c5F7dB534B703E5A44A974548892B38,151635054152050680,13053952350730194899079
0x7CA3dB74F7b6cd8D6Db1D34dEc2eA3c89a3417ec,0x8544890C7E7f21bF8b3FA7ec433b80df5CC04F4a,16915631558341037223997,21127524170041242347327
