minter,buyer,value
0x66aB6D9362d4F35596279692F0251Db635165871,0xa2A25a1635052F1E11b260b765c75c3A1744af98,29695000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xEdfdB89B9c6E8731f823Ac1873b1d822E9e42C74,80703000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xD1340cA7C4f28c312f1115abbEf2956711c3f25b,42630000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0xcFe3a516e7cbAEcCc7526B486B9a4b158B44c646,99445000000000000000000
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x0063046686E46Dc6F15918b61AE2B121458534a5,44196238587790381313307
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x21b42413bA931038f35e7A5224FaDb065d297Ba3,70878111468942567200372
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x33A4622B82D4c04a53e170c638B944ce27cffce3,64235112500322699399277
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x0063046686E46Dc6F15918b61AE2B121458534a5,393111575269595818505875
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x33A4622B82D4c04a53e170c638B944ce27cffce3,185700178988218484719250
0x602C71e4DAC47a042Ee7f46E0aee17F94A3bA0B6,0x21b42413bA931038f35e7A5224FaDb065d297Ba3,218674769149211019635730
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,10000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,10000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,10000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,10000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,10000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,10000000000000000000000
0x66aB6D9362d4F35596279692F0251Db635165871,0x0063046686E46Dc6F15918b61AE2B121458534a5,1000000000000000000000
